group_key,Артикул,Тип,Назва_пристрою,Файл_картинки,URL_картинки
hd19766,hd21622,Багаторазові пристрої/Картриджи,Випарник Voopoo PnP,kartrydzhi/hd19766.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19766.jpg
hd9021,hd9021,Багаторазові пристрої/Картриджи,Картридж для багаторазової POD-системи Elf Bar RF350,kartrydzhi/hd9021.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd9021.jpg
hd10002,hd10002,Багаторазові пристрої/Картриджи,Картридж Elf Bar Elfa,kartrydzhi/hd10002.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd10002.jpg
hd10002,hd10003,Багаторазові пристрої/Картриджи,Картридж Elf Bar Elfa,kartrydzhi/hd10002.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd10002.jpg
hd10002,hd10004,Багаторазові пристрої/Картриджи,Картридж Elf Bar Elfa,kartrydzhi/hd10002.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd10002.jpg
hd10002,hd10005,Багаторазові пристрої/Картриджи,Картридж Elf Bar Elfa,kartrydzhi/hd10002.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd10002.jpg
hd10002,hd26260,Багаторазові пристрої/Картриджи,Картридж Elf Bar Elfa,kartrydzhi/hd10002.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd10002.jpg
hd10002,hd10006,Багаторазові пристрої/Картриджи,Картридж Elf Bar Elfa,kartrydzhi/hd10002.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd10002.jpg
elfx-06,elfx-06,Багаторазові пристрої/Картриджи,Картридж Elf Bar ELFX Dual Mesh,kartrydzhi/elfx-06.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/elfx-06.jpg
elfx-06,elfx-08,Багаторазові пристрої/Картриджи,Картридж Elf Bar ELFX Dual Mesh,kartrydzhi/elfx-06.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/elfx-06.jpg
hd9997,hd9997,Багаторазові пристрої/Картриджи,"Картридж Elf Bar FB1000 (3,5 мл)",kartrydzhi/hd9997.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd9997.jpg
hd18489,hd18489,Багаторазові пристрої/Картриджи,Картридж Elf Bar P1,kartrydzhi/hd18489.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18489.jpg
hd18489,hd9998,Багаторазові пристрої/Картриджи,Картридж Elf Bar P1,kartrydzhi/hd18489.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18489.jpg
hd18489,hd9999,Багаторазові пристрої/Картриджи,Картридж Elf Bar P1,kartrydzhi/hd18489.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18489.jpg
hd18489,hd18491,Багаторазові пристрої/Картриджи,Картридж Elf Bar P1,kartrydzhi/hd18489.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18489.jpg
hd18489,hd18490,Багаторазові пристрої/Картриджи,Картридж Elf Bar P1,kartrydzhi/hd18489.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18489.jpg
hd18489,hd18488,Багаторазові пристрої/Картриджи,Картридж Elf Bar P1,kartrydzhi/hd18489.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18489.jpg
hd18489,hd18322,Багаторазові пристрої/Картриджи,Картридж Elf Bar P1,kartrydzhi/hd18489.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18489.jpg
hd18489,hd18323,Багаторазові пристрої/Картриджи,Картридж Elf Bar P1,kartrydzhi/hd18489.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18489.jpg
hd18489,hd18487,Багаторазові пристрої/Картриджи,Картридж Elf Bar P1,kartrydzhi/hd18489.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18489.jpg
hd18489,hd18324,Багаторазові пристрої/Картриджи,Картридж Elf Bar P1,kartrydzhi/hd18489.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18489.jpg
hd18489,hd10000,Багаторазові пристрої/Картриджи,Картридж Elf Bar P1,kartrydzhi/hd18489.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18489.jpg
hd18489,hd10001,Багаторазові пристрої/Картриджи,Картридж Elf Bar P1,kartrydzhi/hd18489.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18489.jpg
hd18489,hd18325,Багаторазові пристрої/Картриджи,Картридж Elf Bar P1,kartrydzhi/hd18489.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18489.jpg
hd18489,hd18326,Багаторазові пристрої/Картриджи,Картридж Elf Bar P1,kartrydzhi/hd18489.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18489.jpg
hd18222,hd18222,Багаторазові пристрої/Картриджи,Картридж Elfa,kartrydzhi/hd18222.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18222.jpg
hd18222,hd18223,Багаторазові пристрої/Картриджи,Картридж Elfa,kartrydzhi/hd18222.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18222.jpg
hd18222,hd18224,Багаторазові пристрої/Картриджи,Картридж Elfa,kartrydzhi/hd18222.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18222.jpg
hd18222,hd18225,Багаторазові пристрої/Картриджи,Картридж Elfa,kartrydzhi/hd18222.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18222.jpg
hd18222,hd18226,Багаторазові пристрої/Картриджи,Картридж Elfa,kartrydzhi/hd18222.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18222.jpg
hd18222,hd18227,Багаторазові пристрої/Картриджи,Картридж Elfa,kartrydzhi/hd18222.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18222.jpg
hd18222,hd18228,Багаторазові пристрої/Картриджи,Картридж Elfa,kartrydzhi/hd18222.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18222.jpg
hd18222,hd18229,Багаторазові пристрої/Картриджи,Картридж Elfa,kartrydzhi/hd18222.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd18222.jpg
hd21620,hd21620,Багаторазові пристрої/Картриджи,Картридж Geekvape Q Cartridge,kartrydzhi/hd21620.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd21620.jpg
hd21620,hd21621,Багаторазові пристрої/Картриджи,Картридж Geekvape Q Cartridge,kartrydzhi/hd21620.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd21620.jpg
hd20119,hd20119,Багаторазові пристрої/Картриджи,Картридж Geekvape Sonder U,kartrydzhi/hd20119.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd20119.jpg
hd20119,hd20118,Багаторазові пристрої/Картриджи,Картридж Geekvape Sonder U,kartrydzhi/hd20119.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd20119.jpg
hd19559,hd19559,Багаторазові пристрої/Картриджи,Картридж Joyetech Evio C 2 мл,kartrydzhi/hd19559.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19559.jpg
hd20884,hd20884,Багаторазові пристрої/Картриджи,Картридж Lost vape Ursa Nano Cartridge,kartrydzhi/hd20884.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd20884.jpg
hd20884,hd20885,Багаторазові пристрої/Картриджи,Картридж Lost vape Ursa Nano Cartridge,kartrydzhi/hd20884.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd20884.jpg
hd20884,hd20886,Багаторазові пристрої/Картриджи,Картридж Lost vape Ursa Nano Cartridge,kartrydzhi/hd20884.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd20884.jpg
hd23928,hd23928,Багаторазові пристрої/Картриджи,Картридж Lost Vape Ursa,kartrydzhi/hd23928.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd23928.jpg
hd27196,hd27196,Багаторазові пристрої/Картриджи,Картридж Lost Vape Ursa,kartrydzhi/hd27196.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd27196.jpg
hd26753,hd26753,Багаторазові пристрої/Картриджи,Картридж Lost Vape Ursa V3,kartrydzhi/hd26753.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd26753.jpg
hd26753,hd28106,Багаторазові пристрої/Картриджи,Картридж Lost Vape Ursa V3,kartrydzhi/hd26753.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd26753.jpg
hd26753,hd28107,Багаторазові пристрої/Картриджи,Картридж Lost Vape Ursa V3,kartrydzhi/hd26753.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd26753.jpg
hd28174,hd28174,Багаторазові пристрої/Картриджи,Картридж OXVA NeXLIM,kartrydzhi/hd28174.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd28174.jpg
hd28174,hd28175,Багаторазові пристрої/Картриджи,Картридж OXVA NeXLIM,kartrydzhi/hd28174.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd28174.jpg
hd28174,hd28101,Багаторазові пристрої/Картриджи,Картридж OXVA NeXLIM,kartrydzhi/hd28174.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd28174.jpg
oxiv-0-4,oxiv-0-4,Багаторазові пристрої/Картриджи,Картридж OXVA XLIM,kartrydzhi/oxiv-0-4.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/oxiv-0-4.jpg
oxiv-0-4,oxiv-0-6,Багаторазові пристрої/Картриджи,Картридж OXVA XLIM,kartrydzhi/oxiv-0-4.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/oxiv-0-4.jpg
oxiv-0-4,oxiv-0-8,Багаторазові пристрої/Картриджи,Картридж OXVA XLIM,kartrydzhi/oxiv-0-4.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/oxiv-0-4.jpg
oxiv-0-4,oxiv-1-2,Багаторазові пристрої/Картриджи,Картридж OXVA XLIM,kartrydzhi/oxiv-0-4.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/oxiv-0-4.jpg
hd28102,hd28102,Багаторазові пристрої/Картриджи,Картридж OXVA Xlim Top fill,kartrydzhi/hd28102.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd28102.jpg
hd28102,hd28103,Багаторазові пристрої/Картриджи,Картридж OXVA Xlim Top fill,kartrydzhi/hd28102.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd28102.jpg
hd28102,hd28104,Багаторазові пристрої/Картриджи,Картридж OXVA Xlim Top fill,kartrydzhi/hd28102.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd28102.jpg
hd28102,hd28105,Багаторазові пристрої/Картриджи,Картридж OXVA Xlim Top fill,kartrydzhi/hd28102.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd28102.jpg
hd19764,hd19764,Багаторазові пристрої/Картриджи,"Картридж Smok Nord 4 Empty RPM 2 Pod 4,5 мл",kartrydzhi/hd19764.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19764.jpg
hd19763,hd19763,Багаторазові пристрої/Картриджи,"Картридж Smok Nord 4 Empty RPM Pod 4,5 мл",kartrydzhi/hd19763.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19763.jpg
hd19762,hd19762,Багаторазові пристрої/Картриджи,Картридж Smok Nord 5 Empty Pod,kartrydzhi/hd19762.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19762.jpg
hd19988,hd19988,Багаторазові пристрої/Картриджи,Картридж Smok Nord 50w Empty LP2 Pod,kartrydzhi/hd19988.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19988.jpg
hd22081,hd22081,Багаторазові пристрої/Картриджи,Картридж Smok Nord 50w Empty Nord Pod,kartrydzhi/hd22081.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd22081.jpg
hd19987,hd19987,Багаторазові пристрої/Картриджи,Картридж Smok Nord 50w Empty RPM 1 4.5 мл,kartrydzhi/hd19987.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19987.jpg
hd21668,hd21668,Багаторазові пристрої/Картриджи,Картридж Smok Novo 2,kartrydzhi/hd21668.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd21668.jpg
hd21668,hd19758,Багаторазові пристрої/Картриджи,Картридж Smok Novo 2,kartrydzhi/hd21668.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd21668.jpg
hd21668,hd19989,Багаторазові пристрої/Картриджи,Картридж Smok Novo 2,kartrydzhi/hd21668.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd21668.jpg
hd21668,snm-10,Багаторазові пристрої/Картриджи,Картридж Smok Novo 2,kartrydzhi/hd21668.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd21668.jpg
hd19560,hd19560,Багаторазові пристрої/Картриджи,Картридж Smok Novo 2X,kartrydzhi/hd19560.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19560.jpg
hd19560,hd19561,Багаторазові пристрої/Картриджи,Картридж Smok Novo 2X,kartrydzhi/hd19560.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19560.jpg
hd19694,hd19694,Багаторазові пристрої/Картриджи,Картридж Smok Novo 3 Cartridge Mesh 0.8 Ом,kartrydzhi/hd19694.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19694.jpg
hd19775,hd19775,Багаторазові пристрої/Картриджи,Картридж Smok Novo 4 Empty Pod,kartrydzhi/hd19775.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19775.jpg
hd19761,hd19761,Багаторазові пристрої/Картриджи,Картридж Smok Novo 4 mini Empty Pod,kartrydzhi/hd19761.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19761.jpg
hd19760,hd19760,Багаторазові пристрої/Картриджи,Картридж Smok Novo 5 Meshed 0.7 Ом MTL Pod,kartrydzhi/hd19760.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19760.jpg
snm-06,snm-06,Багаторазові пристрої/Картриджи,Картридж Smok Novo 2,kartrydzhi/snm-06.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/snm-06.jpg
snm-08,snm-08,Багаторазові пристрої/Картриджи,Картридж Smok Novo Mesh 0.8 Ом 3 мл,kartrydzhi/snm-08.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/snm-08.jpg
snm-06,snm-2-0-8,Багаторазові пристрої/Картриджи,Картридж Smok Novo 2,kartrydzhi/snm-06.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/snm-06.jpg
snm-06,snm-09,Багаторазові пристрої/Картриджи,Картридж Smok Novo 2,kartrydzhi/snm-06.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/snm-06.jpg
snm-mtl-08,snm-mtl-08,Багаторазові пристрої/Картриджи,Картридж Smok Novo X Cartridge DC MTL 0.8 Ом,kartrydzhi/snm-mtl-08.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/snm-mtl-08.jpg
hd19759,hd19759,Багаторазові пристрої/Картриджи,Картридж Smok Solus 2 Meshed 0.9 Ом Pod,kartrydzhi/hd19759.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19759.jpg
hd19562,hd19562,Багаторазові пристрої/Картриджи,Картридж Suorin ACE Cartridge 1.0 Ом,kartrydzhi/hd19562.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19562.jpg
hd19690,hd19690,Багаторазові пристрої/Картриджи,Картридж Suorin Air Mini,kartrydzhi/hd19690.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19690.jpg
hd19690,hd22924,Багаторазові пристрої/Картриджи,Картридж Suorin Air Mini,kartrydzhi/hd19690.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19690.jpg
hd20121,hd20121,Багаторазові пристрої/Картриджи,Картридж Suorin Air Plus Cartridge 1.0 Ом 2 мл,kartrydzhi/hd20121.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd20121.jpg
hd19563,hd19563,Багаторазові пристрої/Картриджи,Картридж Suorin Air Pro 1.0 Ом,kartrydzhi/hd19563.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd19563.jpg
hd26917,hd26917,Багаторазові пристрої/Картриджи,Картридж Vaporesso LUXE Q Mesh,kartrydzhi/hd26917.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd26917.jpg
hd26917,hd26918,Багаторазові пристрої/Картриджи,Картридж Vaporesso LUXE Q Mesh,kartrydzhi/hd26917.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd26917.jpg
hd26917,vrs-luxe-3-0-6,Багаторазові пристрої/Картриджи,Картридж Vaporesso LUXE Q Mesh,kartrydzhi/hd26917.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd26917.jpg
hd26917,hd26916,Багаторазові пристрої/Картриджи,Картридж Vaporesso LUXE Q Mesh,kartrydzhi/hd26917.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd26917.jpg
hd26917,vrs-luxe-3-0-8,Багаторазові пристрої/Картриджи,Картридж Vaporesso LUXE Q Mesh,kartrydzhi/hd26917.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd26917.jpg
hd26917,vrs-luxe-3-1-2,Багаторазові пристрої/Картриджи,Картридж Vaporesso LUXE Q Mesh,kartrydzhi/hd26917.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd26917.jpg
vrs-3-0-4,vrs-2-1-2,Багаторазові пристрої/Картриджи,Картридж Vaporesso XROS Mini,kartrydzhi/vrs-3-0-4.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/vrs-3-0-4.jpg
vrs-3-0-4,vrs-2-0-6,Багаторазові пристрої/Картриджи,Картридж Vaporesso XROS Mini,kartrydzhi/vrs-3-0-4.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/vrs-3-0-4.jpg
vrs-3-0-4,vrs-2-0-8,Багаторазові пристрої/Картриджи,Картридж Vaporesso XROS Mini,kartrydzhi/vrs-3-0-4.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/vrs-3-0-4.jpg
vrs-3-0-4,vrs-2-1-0,Багаторазові пристрої/Картриджи,Картридж Vaporesso XROS Mini,kartrydzhi/vrs-3-0-4.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/vrs-3-0-4.jpg
vrs-3-0-4,vrs-3-0-4,Багаторазові пристрої/Картриджи,Картридж Vaporesso XROS Mini,kartrydzhi/vrs-3-0-4.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/vrs-3-0-4.jpg
vrs-3-0-4,vrs-3-0-6,Багаторазові пристрої/Картриджи,Картридж Vaporesso XROS Mini,kartrydzhi/vrs-3-0-4.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/vrs-3-0-4.jpg
vrs-3-0-4,vrs-3-0-8,Багаторазові пристрої/Картриджи,Картридж Vaporesso XROS Mini,kartrydzhi/vrs-3-0-4.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/vrs-3-0-4.jpg
vrs-3-0-4,vrs-2-1-0m,Багаторазові пристрої/Картриджи,Картридж Vaporesso XROS Mini,kartrydzhi/vrs-3-0-4.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/vrs-3-0-4.jpg
hd24637,hd25726,Багаторазові пристрої/Картриджи,Картридж Vaporesso Xros Series COREX 2.0,kartrydzhi/hd24637.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd24637.jpg
hd24637,hd25725,Багаторазові пристрої/Картриджи,Картридж Vaporesso Xros Series COREX 2.0,kartrydzhi/hd24637.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd24637.jpg
hd24637,hd24637,Багаторазові пристрої/Картриджи,Картридж Vaporesso Xros Series COREX 2.0,kartrydzhi/hd24637.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd24637.jpg
hd27964,hd27964,Багаторазові пристрої/Картриджи,Картридж Vaporesso Xros Series COREX 3.0,kartrydzhi/hd27964.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd27964.jpg
hd27964,hd20880,Багаторазові пристрої/Картриджи,Картридж Vaporesso Xros Series COREX 3.0,kartrydzhi/hd27964.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd27964.jpg
hd27964,hd27050,Багаторазові пристрої/Картриджи,Картридж Vaporesso Xros Series COREX 3.0,kartrydzhi/hd27964.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd27964.jpg
hd27964,hd27561,Багаторазові пристрої/Картриджи,Картридж Vaporesso Xros Series COREX 3.0,kartrydzhi/hd27964.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd27964.jpg
hd27964,hd27051,Багаторазові пристрої/Картриджи,Картридж Vaporesso Xros Series COREX 3.0,kartrydzhi/hd27964.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd27964.jpg
hd27964,hd27492,Багаторазові пристрої/Картриджи,Картридж Vaporesso Xros Series COREX 3.0,kartrydzhi/hd27964.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd27964.jpg
hd27964,hd27493,Багаторазові пристрої/Картриджи,Картридж Vaporesso Xros Series COREX 3.0,kartrydzhi/hd27964.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd27964.jpg
vrs-zero-s-1-0,vrs-zero-s-1-0,Багаторазові пристрої/Картриджи,Картридж Vaporesso ZERO S,kartrydzhi/vrs-zero-s-1-0.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/vrs-zero-s-1-0.jpg
hd20883,hd20883,Багаторазові пристрої/Картриджи,Картридж Voopoo Argus Pod,kartrydzhi/hd20883.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd20883.jpg
hd20883,hd26768,Багаторазові пристрої/Картриджи,Картридж Voopoo Argus Pod,kartrydzhi/hd20883.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd20883.jpg
hd20883,hd20122,Багаторазові пристрої/Картриджи,Картридж Voopoo Argus Pod,kartrydzhi/hd20883.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd20883.jpg
hd20883,hd26767,Багаторазові пристрої/Картриджи,Картридж Voopoo Argus Pod,kartrydzhi/hd20883.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd20883.jpg
hd20883,hd26552,Багаторазові пристрої/Картриджи,Картридж Voopoo Argus Pod,kartrydzhi/hd20883.jpg,https://raw.githubusercontent.com/<REPO>/main/card_images/kartrydzhi/hd20883.jpg
